Ref,Step no,Step,Substep — still to do,Actor,Mode,Precondition,Substep — done,Substep is new,Written to the trail when it fails,Shown to someone when it fails,Written to the trail when it works,Shown to someone when it works
4d,4,Assign,Choose Path,System,automated,automated — reads the assigned coach's language match,Path Chosen,yes,"compatibility check skipped — no coach assigned  ← not built
compatibility split — {coachId} shares no language with the client  ← not built","Admin [operator portal] “Assign a coach before checking languages.”  ← not built
Admin [operator portal] “{name} can’t read the client’s files. Translate for all, or reassign.”  ← not built","translation required — no shared language. Proceeding to Step 5  ← not built
translation not required — shared language. Proceeding to Step 8  ← not built","Admin [operator portal] “No shared language — this needs translating. Moving to Step 5.”  ← not built
Admin [operator portal] “Shared language — no translation needed. Moving to Step 8.”  ← not built"
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,yes,"intake translator already assigned — reassignment refused  ← not built
intake translator assignment failed — nobody on file covers that language pair  ← not built","Admin [operator portal] “This has already gone to a translator. Reload to see where it is.”  ← not built
Admin [operator portal] “Nobody on file covers that language pair.”  ← not built
Admin [operator portal] “That didn’t go through — try again.”  ← not built","intake translator assigned — {translatorId}  ← not built
intake translator unassigned — {translatorId}  ← not built","Admin [operator portal] the translator’s name appears on the row  ← not built
Admin [operator portal] “Two translators on this one.”  ← not built
Admin [operator portal] “Reassigned — {name} has it now.”  ← not built
Admin [operator portal] “The return leg can take a different translator.”  ← not built"
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,,"③ hand-off → translator failed
③ hand-off → translator bounced — hard
③ hand-off → translator bounced — soft
③ hand-off → translator bounced
③ hand-off → translator complained","Admin [operator portal] “The translator never received this — they don’t know they have work.”  ← not built
Admin [operator portal] “That didn’t go through — try again.”  ← not built","③ hand-off → translator
③ hand-off → translator delivered","Translator [email] ③ the hand-off, with a download link per file  ← not built
Admin [operator portal] the row moves to Translating"
5c,5,Translate,Update Client,System,automated,automated — fires when the hand-off goes out,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Your files are with a translator.”  ← not built,Customer [status page] “Your files are with a translator.”  ← not built
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,,"original fetch refused — 410, the folder was swept
original fetch refused — 401, the session had expired  ← not built
original fetch refused — 403, a different party asked  ← not built
original fetch failed — storage unreachable  ← not built
original fetch stopped partway  ← not built
original pack build failed — too large to archive  ← not built
original never collected — 48h after hand-off  ← not built
original still incomplete — 1 of 2, 48h after hand-off  ← not built
original still incomplete — 1 of 3, 48h after hand-off  ← not built
original still incomplete — 1 of 4, 48h after hand-off  ← not built
original still incomplete — 1 of 5, 48h after hand-off  ← not built
original still incomplete — 2 of 3, 48h after hand-off  ← not built
original still incomplete — 2 of 4, 48h after hand-off  ← not built
original still incomplete — 2 of 5, 48h after hand-off  ← not built
original still incomplete — 3 of 4, 48h after hand-off  ← not built
original still incomplete — 3 of 5, 48h after hand-off  ← not built
original still incomplete — 4 of 5, 48h after hand-off  ← not built","Translator [operator portal] “That file is no longer available.”
Translator [operator portal] “Your session has expired. Please sign in again.”  ← not built
Translator [operator portal] “This submission isn’t assigned to you.”  ← not built
Translator [operator portal] “We couldn’t reach storage. Please try again in a moment.”  ← not built
Translator [operator portal] “That download didn’t finish — try it again.”  ← not built
Translator [operator portal] “We couldn’t build the archive. Download the files individually.”  ← not built
Admin [operator portal] “The translator hasn’t collected anything, 48h after hand-off.”  ← not built
Admin [operator portal] “The translator has 1 of 2 files.”  ← not built
Admin [operator portal] “The translator has 1 of 3 files.”  ← not built
Admin [operator portal] “The translator has 1 of 4 files.”  ← not built
Admin [operator portal] “The translator has 1 of 5 files.”  ← not built
Admin [operator portal] “The translator has 2 of 3 files.”  ← not built
Admin [operator portal] “The translator has 2 of 4 files.”  ← not built
Admin [operator portal] “The translator has 2 of 5 files.”  ← not built
Admin [operator portal] “The translator has 3 of 4 files.”  ← not built
Admin [operator portal] “The translator has 3 of 5 files.”  ← not built
Admin [operator portal] “The translator has 4 of 5 files.”  ← not built","original collected — 1 of 1  ← not built
original collected — 1 of 2  ← not built
original collected — 1 of 3  ← not built
original collected — 1 of 4  ← not built
original collected — 1 of 5  ← not built
original collected — 2 of 2  ← not built
original collected — 2 of 3  ← not built
original collected — 2 of 4  ← not built
original collected — 2 of 5  ← not built
original collected — 3 of 3  ← not built
original collected — 3 of 4  ← not built
original collected — 3 of 5  ← not built
original collected — 4 of 4  ← not built
original collected — 4 of 5  ← not built
original collected — 5 of 5  ← not built
original collected in one pack  ← not built","Translator [operator portal] the file downloads
Translator [operator portal] “Your file downloaded — you have the complete set.”  ← not built
Translator [operator portal] “All 2 files downloaded — you have the complete set.”  ← not built
Translator [operator portal] “All 3 files downloaded — you have the complete set.”  ← not built
Translator [operator portal] “All 4 files downloaded — you have the complete set.”  ← not built
Translator [operator portal] “All 5 files downloaded — you have the complete set.”  ← not built
Admin [operator portal] “The translator has started — first file collected.”  ← not built
Admin [operator portal] “The translator has the complete set.”  ← not built"
6a,6,Translating,Update Client,System,automated,automated — fires on the translator's first collection,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Your files are being translated.”  ← not built,Customer [status page] “Your files are being translated.”  ← not built
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,,"intake_translation rejected — over the size limit  ← not built
intake_translation rejected — file type not supported  ← not built
intake_translation rejected — the file was empty  ← not built
intake_translation unmatched — no original to pair it with  ← not built
intake_translation duplicate — that original already has a translation  ← not built
intake_translation incomplete — 1 of 2 originals translated  ← not built
intake_translation incomplete — 1 of 3 originals translated  ← not built
intake_translation incomplete — 1 of 4 originals translated  ← not built
intake_translation incomplete — 1 of 5 originals translated  ← not built
intake_translation incomplete — 2 of 3 originals translated  ← not built
intake_translation incomplete — 2 of 4 originals translated  ← not built
intake_translation incomplete — 2 of 5 originals translated  ← not built
intake_translation incomplete — 3 of 4 originals translated  ← not built
intake_translation incomplete — 3 of 5 originals translated  ← not built
intake_translation incomplete — 4 of 5 originals translated  ← not built","Translator [operator portal] “That file was rejected — too large, wrong type, or empty.”  ← not built
Translator [operator portal] “That file doesn’t match any original.”  ← not built
Translator [operator portal] “That original already has a translation.”  ← not built
Translator [operator portal] “1 of 2 originals still need a translation.”  ← not built
Translator [operator portal] “1 of 3 originals still need a translation.”  ← not built
Translator [operator portal] “1 of 4 originals still need a translation.”  ← not built
Translator [operator portal] “1 of 5 originals still need a translation.”  ← not built
Translator [operator portal] “2 of 3 originals still need a translation.”  ← not built
Translator [operator portal] “2 of 4 originals still need a translation.”  ← not built
Translator [operator portal] “2 of 5 originals still need a translation.”  ← not built
Translator [operator portal] “3 of 4 originals still need a translation.”  ← not built
Translator [operator portal] “3 of 5 originals still need a translation.”  ← not built
Translator [operator portal] “4 of 5 originals still need a translation.”  ← not built
Admin [operator portal] “1 of 2 originals have a translation.”  ← not built
Admin [operator portal] “1 of 3 originals have a translation.”  ← not built
Admin [operator portal] “1 of 4 originals have a translation.”  ← not built
Admin [operator portal] “1 of 5 originals have a translation.”  ← not built
Admin [operator portal] “2 of 3 originals have a translation.”  ← not built
Admin [operator portal] “2 of 4 originals have a translation.”  ← not built
Admin [operator portal] “2 of 5 originals have a translation.”  ← not built
Admin [operator portal] “3 of 4 originals have a translation.”  ← not built
Admin [operator portal] “3 of 5 originals have a translation.”  ← not built
Admin [operator portal] “4 of 5 originals have a translation.”  ← not built","files attached — 1 intake_translation  ← not built
files attached — 2 intake_translation  ← not built
files attached — 3 intake_translation  ← not built
files attached — 4 intake_translation  ← not built
files attached — 5 intake_translation  ← not built
intake_translation paired to its original — 1 of 1  ← not built
intake_translation paired to its original — 1 of 2  ← not built
intake_translation paired to its original — 1 of 3  ← not built
intake_translation paired to its original — 1 of 4  ← not built
intake_translation paired to its original — 1 of 5  ← not built
intake_translation paired to its original — 2 of 2  ← not built
intake_translation paired to its original — 2 of 3  ← not built
intake_translation paired to its original — 2 of 4  ← not built
intake_translation paired to its original — 2 of 5  ← not built
intake_translation paired to its original — 3 of 3  ← not built
intake_translation paired to its original — 3 of 4  ← not built
intake_translation paired to its original — 3 of 5  ← not built
intake_translation paired to its original — 4 of 4  ← not built
intake_translation paired to its original — 4 of 5  ← not built
intake_translation paired to its original — 5 of 5  ← not built","Translator [operator portal] the file appears beside the original it translates  ← not built
Admin [operator portal] “Every original has a translation.”  ← not built
Translator [operator portal] “All 1 translated.”  ← not built
Translator [operator portal] “All 2 translated.”  ← not built
Translator [operator portal] “All 3 translated.”  ← not built
Translator [operator portal] “All 4 translated.”  ← not built
Translator [operator portal] “All 5 translated.”  ← not built"
7a,7,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,yes,"④ translated → Admin failed  ← not built
④ translated → Admin bounced — hard  ← not built
④ translated → Admin bounced — soft  ← not built
④ translated → Admin bounced  ← not built
④ translated → Admin complained  ← not built",Admin [operator portal] a banner on the row — “The translation notice bounced.”  ← not built,"④ translated → Admin  ← not built
④ translated → Admin delivered  ← not built",Admin [email] ④ the translations are back  ← not built
7b,7,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,yes,"④ received → translator failed  ← not built
④ received → translator bounced — hard  ← not built
④ received → translator bounced — soft  ← not built
④ received → translator bounced  ← not built
④ received → translator complained  ← not built",Admin [operator portal] a banner on the row — “The translator’s receipt bounced. They don’t know the translations arrived.”  ← not built,"④ received → translator  ← not built
④ received → translator delivered  ← not built",Translator [email] ④ we have your translations  ← not built
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,yes,"④ approved → translator failed  ← not built
④ approved → translator bounced — hard  ← not built
④ approved → translator bounced — soft  ← not built
④ approved → translator bounced  ← not built
④ approved → translator complained  ← not built
④ returned → translator failed  ← not built
④ returned → translator bounced — hard  ← not built
④ returned → translator bounced — soft  ← not built
④ returned → translator bounced  ← not built
④ returned → translator complained  ← not built","Admin [operator portal] “There’s nothing in the translated folder to assess.”  ← not built
Admin [operator portal] “Say why it’s going back — the translator only gets what you write here.”  ← not built
Admin [operator portal] “Choose which set the coach receives.”  ← not built
Admin [operator portal] “That didn’t go through — try again.”  ← not built","hand-off set chosen — originals  ← not built
hand-off set chosen — translations  ← not built
hand-off set chosen — both  ← not built
translations approved — every original covered. Proceeding to Step 8  ← not built
translations rejected — sent back for rework. Returning to Step 6  ← not built
④ approved → translator  ← not built
④ approved → translator delivered  ← not built
④ returned → translator  ← not built
④ returned → translator delivered  ← not built","Admin [operator portal] “Approved — moving to Step 8.”  ← not built
Admin [operator portal] “Returned for rework — back to Step 6.”  ← not built
Translator [email] ④ your translation was approved  ← not built
Translator [email] ④ your translation was returned, with the reason  ← not built
Translator [operator portal] “This came back — see the note and re-upload.”  ← not built"
8a,8,Sent,Update Client,System,automated,automated — fires only when arriving from step 7; untranslated submissions skip it,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Your files have been translated.”  ← not built,Customer [status page] “Your files have been translated.”  ← not built
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,,"③ hand-off → coach failed
③ hand-off → coach bounced — hard
③ hand-off → coach bounced — soft
③ hand-off → coach bounced
③ hand-off → coach complained",Admin [operator portal] “The coach never received this — they don’t know they have work.”  ← not built,"③ hand-off → coach
③ hand-off → coach delivered","Coach [email] ③ the hand-off, with a download link per file
Admin [operator portal] the set that was sent is recorded against the submission  ← not built"
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,,"coach fetch refused — 410, the folder was swept
coach fetch refused — 401, the session had expired  ← not built
coach fetch refused — 403, a different party asked  ← not built
coach fetch failed — storage unreachable  ← not built
coach fetch stopped partway  ← not built
coach pack build failed — too large to archive  ← not built
coach never collected — 48h after hand-off  ← not built
coach still incomplete — 1 of 2, 48h after hand-off  ← not built
coach still incomplete — 1 of 3, 48h after hand-off  ← not built
coach still incomplete — 1 of 4, 48h after hand-off  ← not built
coach still incomplete — 1 of 5, 48h after hand-off  ← not built
coach still incomplete — 2 of 3, 48h after hand-off  ← not built
coach still incomplete — 2 of 4, 48h after hand-off  ← not built
coach still incomplete — 2 of 5, 48h after hand-off  ← not built
coach still incomplete — 3 of 4, 48h after hand-off  ← not built
coach still incomplete — 3 of 5, 48h after hand-off  ← not built
coach still incomplete — 4 of 5, 48h after hand-off  ← not built","Coach [operator portal] “That file is no longer available.”
Coach [operator portal] “Your session has expired. Please sign in again.”  ← not built
Coach [operator portal] “This submission isn’t assigned to you.”  ← not built
Coach [operator portal] “We couldn’t reach storage. Please try again in a moment.”  ← not built
Coach [operator portal] “That download didn’t finish — try it again.”  ← not built
Coach [operator portal] “We couldn’t build the archive. Download the files individually.”  ← not built
Admin [operator portal] “The coach hasn’t collected anything, 48h after hand-off.”  ← not built
Admin [operator portal] “The coach has 1 of 2 files.”  ← not built
Admin [operator portal] “The coach has 1 of 3 files.”  ← not built
Admin [operator portal] “The coach has 1 of 4 files.”  ← not built
Admin [operator portal] “The coach has 1 of 5 files.”  ← not built
Admin [operator portal] “The coach has 2 of 3 files.”  ← not built
Admin [operator portal] “The coach has 2 of 4 files.”  ← not built
Admin [operator portal] “The coach has 2 of 5 files.”  ← not built
Admin [operator portal] “The coach has 3 of 4 files.”  ← not built
Admin [operator portal] “The coach has 3 of 5 files.”  ← not built
Admin [operator portal] “The coach has 4 of 5 files.”  ← not built","coach collected — 1 of 1  ← not built
coach collected — 1 of 2  ← not built
coach collected — 1 of 3  ← not built
coach collected — 1 of 4  ← not built
coach collected — 1 of 5  ← not built
coach collected — 2 of 2  ← not built
coach collected — 2 of 3  ← not built
coach collected — 2 of 4  ← not built
coach collected — 2 of 5  ← not built
coach collected — 3 of 3  ← not built
coach collected — 3 of 4  ← not built
coach collected — 3 of 5  ← not built
coach collected — 4 of 4  ← not built
coach collected — 4 of 5  ← not built
coach collected — 5 of 5  ← not built
coach collected in one pack  ← not built","Coach [operator portal] the file downloads
Coach [operator portal] “Your file downloaded — you have the complete set.”  ← not built
Coach [operator portal] “All 2 files downloaded — you have the complete set.”  ← not built
Coach [operator portal] “All 3 files downloaded — you have the complete set.”  ← not built
Coach [operator portal] “All 4 files downloaded — you have the complete set.”  ← not built
Coach [operator portal] “All 5 files downloaded — you have the complete set.”  ← not built
Admin [operator portal] “The coach has started — first file collected.”  ← not built
Admin [operator portal] “The coach has the complete set.”  ← not built
Admin [email] ⑤ picked up — the coach has it"
9a,9,Reviewing,Update Client,System,automated,automated — fires on the coach's first collection,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Your coach is writing your feedback.”  ← not built,Customer [status page] “Your coach is writing your feedback.”  ← not built
9b,9,Reviewing,Upload Feedback,Coach,manual,manual — uploads their feedback,Feedback Uploaded,,"feedback rejected — over the size limit  ← not built
feedback rejected — file type not supported  ← not built
feedback rejected — the file was empty  ← not built
feedback rejected — over the file-count limit  ← not built
feedback upload stopped partway  ← not built
feedback upload failed — storage unreachable  ← not built
feedback never uploaded — 7 days after hand-off  ← not built","Coach [operator portal] “That file was rejected — too large, wrong type, or empty.”  ← not built
Coach [operator portal] “That upload didn’t finish — try it again.”  ← not built
Coach [operator portal] “We couldn’t reach storage. Please try again in a moment.”  ← not built
Admin [operator portal] “The coach hasn’t uploaded anything, 7 days after hand-off.”  ← not built","files attached — 1 feedback  ← not built
files attached — 2 feedback  ← not built
files attached — 3 feedback  ← not built
files attached — 4 feedback  ← not built
files attached — 5 feedback  ← not built","Coach [operator portal] the file appears in their folder
Admin [operator portal] “The coach has delivered.”  ← not built"
10a,10,Submitted,Inform Admin,System,automated,automated — fires when the feedback lands,Admin Informed,,"⑥ feedback → Admin failed
⑥ feedback → Admin bounced — hard
⑥ feedback → Admin bounced — soft
⑥ feedback → Admin bounced
⑥ feedback → Admin complained",Admin [operator portal] a banner on the row — “The feedback notice bounced.”  ← not built,"⑥ feedback → Admin
⑥ feedback → Admin delivered",Admin [email] ⑥ the coach has delivered
10b,10,Submitted,Inform Coach,System,automated,automated — fires when the feedback lands,Coach Informed,,"⑥ feedback → coach failed
⑥ feedback → coach bounced — hard
⑥ feedback → coach bounced — soft
⑥ feedback → coach bounced
⑥ feedback → coach complained",Admin [operator portal] a banner on the row — “The coach’s copy bounced.”  ← not built,"⑥ feedback → coach
⑥ feedback → coach delivered",Coach [email] ⑥ we have your feedback
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,yes,"⑥ approved → coach failed  ← not built
⑥ approved → coach bounced — hard  ← not built
⑥ approved → coach bounced — soft  ← not built
⑥ approved → coach bounced  ← not built
⑥ approved → coach complained  ← not built
⑥ returned → coach failed  ← not built
⑥ returned → coach bounced — hard  ← not built
⑥ returned → coach bounced — soft  ← not built
⑥ returned → coach bounced  ← not built
⑥ returned → coach complained  ← not built","Admin [operator portal] “There’s nothing in the feedback folder to assess.”  ← not built
Admin [operator portal] “Say why it’s going back — the coach only gets what you write here.”  ← not built
Admin [operator portal] “That didn’t go through — try again.”  ← not built","feedback approved — proceeding to the fit assessment  ← not built
feedback rejected — sent back for rework. Returning to Step 9  ← not built
⑥ approved → coach  ← not built
⑥ approved → coach delivered  ← not built
⑥ returned → coach  ← not built
⑥ returned → coach delivered  ← not built","Admin [operator portal] “Approved — checking whether the client can read it.”  ← not built
Admin [operator portal] “Returned for rework — back to Step 9.”  ← not built
Coach [email] ⑥ your feedback was approved  ← not built
Coach [email] ⑥ your feedback was returned, with the reason  ← not built
Coach [operator portal] “This came back — see the note and re-upload.”  ← not built"
10d,10,Submitted,Assess Feedback Fit,System,automated,automated — reads the language the feedback was written in,Feedback Fit Assessed,yes,no coach who answered shares the client's language — translation unavoidable  ← not built,Admin [operator portal] “The feedback came back in a language the client doesn’t read — a translation will be needed.”  ← not built,"feedback fit assessed — written in {language}  ← not built
feedback fit assessed — the client reads it  ← not built","Admin [operator portal] “The client reads this. No translation needed.”  ← not built
Admin [operator portal] “The client can’t read this. Translation needed.”  ← not built"
10e,10,Submitted,Choose Path,System,automated,automated — reads what the fit assessment found,Path Chosen,yes,"compatibility split — the feedback spans two languages  ← not built
compatibility split — {coachId} answered in a language the client can’t read  ← not built","Admin [operator portal] “{name} answered in a language the client can’t read. Translate the set, or send one.”  ← not built","translation required — no shared language. Proceeding to Step 11  ← not built
translation not required — shared language. Proceeding to Step 14  ← not built","Admin [operator portal] “No shared language — this needs translating. Moving to Step 11.”  ← not built
Admin [operator portal] “Shared language — no translation needed. Moving to Step 14.”  ← not built"
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,yes,"feedback translator already assigned — reassignment refused  ← not built
feedback translator assignment failed — nobody on file covers that language pair  ← not built","Admin [operator portal] “This has already gone to a translator. Reload to see where it is.”  ← not built
Admin [operator portal] “Nobody on file covers that language pair.”  ← not built
Admin [operator portal] “That didn’t go through — try again.”  ← not built","feedback translator assigned — {translatorId}  ← not built
feedback translator unassigned — {translatorId}  ← not built","Admin [operator portal] the translator’s name appears on the row  ← not built
Admin [operator portal] “Two translators on this one.”  ← not built
Admin [operator portal] “Reassigned — {name} has it now.”  ← not built
Admin [operator portal] “The intake leg can take a different translator.”  ← not built"
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,yes,"⑦ feedback → translator failed  ← not built
⑦ feedback → translator bounced — hard  ← not built
⑦ feedback → translator bounced — soft  ← not built
⑦ feedback → translator bounced  ← not built
⑦ feedback → translator complained  ← not built","Admin [operator portal] “The translator never received this.”  ← not built
Admin [operator portal] “That didn’t go through — try again.”  ← not built","⑦ feedback → translator  ← not built
⑦ feedback → translator delivered  ← not built",Translator [email] ⑦ a feedback to translate  ← not built
