Ref,Step no,Step,Substep — still to do,Actor,Mode,Precondition,Substep — done,Column,Kind,Outcome,Audience,Surface,Text,Built
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Written to the trail when it works,trail row,works,,,① code → customer delivered,yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Shown to someone when it works,message,works,Customer,checkout flow,“Enter the code from your email.”,yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Shown to someone when it works,message,works,Customer,checkout flow,“We’ve sent a new code.” on a resend,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it fails,trail row,fails,,,code rejected — wrong code — 1 of 5 attempts spent,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it fails,trail row,fails,,,code rejected — wrong code — 2 of 5 attempts spent,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it fails,trail row,fails,,,code rejected — wrong code — 3 of 5 attempts spent,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it fails,trail row,fails,,,code rejected — wrong code — 4 of 5 attempts spent,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it fails,trail row,fails,,,code rejected — wrong code — 5 of 5 attempts spent,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it fails,trail row,fails,,,code rejected — 5 attempts spent,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it fails,trail row,fails,,,code rejected — the window had closed,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it fails,trail row,fails,,,code rejected — no code outstanding,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Shown to someone when it fails,message,fails,Customer,checkout flow,“That code doesn’t match. Check the email and try again.”,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Shown to someone when it fails,message,fails,Customer,checkout flow,“Too many incorrect attempts. Ask for a new code to try again.”,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Shown to someone when it fails,message,fails,Customer,checkout flow,“We haven’t sent a code yet. Ask for a new one below.”,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Shown to someone when it fails,message,fails,Customer,checkout flow,“Too many attempts. Please wait a few minutes.”,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Shown to someone when it fails,message,fails,Customer,checkout flow,“Too many code requests. Please wait a few minutes.” on the resend,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it works,trail row,works,,,code accepted,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it works,trail row,works,,,code accepted — on attempt 2,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it works,trail row,works,,,code accepted — on attempt 3,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it works,trail row,works,,,code accepted — on attempt 4,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Written to the trail when it works,trail row,works,,,code accepted — on attempt 5,yes
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,Shown to someone when it works,message,works,Customer,checkout flow,"the upload step opens — no message, the screen simply advances",yes
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it fails,trail row,fails,,,intake rejected — over the size limit,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it fails,trail row,fails,,,intake rejected — file type not supported,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it fails,trail row,fails,,,intake rejected — the file was empty,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it fails,trail row,fails,,,intake rejected — over the file-count limit,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it fails,trail row,fails,,,intake upload stopped partway,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it fails,trail row,fails,,,intake upload failed — storage unreachable,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it fails,trail row,fails,,,intake never uploaded — the flow window after hand-off,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Shown to someone when it fails,message,fails,Customer,checkout flow,“You can attach up to 5 files.”,yes
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Shown to someone when it fails,message,fails,Customer,checkout flow,“Files must be under 50 MB.”,yes
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Shown to someone when it fails,message,fails,Customer,checkout flow,“That file type isn’t supported.”,yes
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Shown to someone when it fails,message,fails,Customer,checkout flow,“That file is empty.”,yes
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Shown to someone when it fails,message,fails,Customer,checkout flow,“Your session has expired. Please start again.”,yes
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Shown to someone when it fails,message,fails,Customer,checkout flow,“Please attach at least one file first.” on trying to advance,yes
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it works,trail row,works,,,files attached — 1 intake,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it works,trail row,works,,,files attached — 2 intake,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it works,trail row,works,,,files attached — 3 intake,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it works,trail row,works,,,files attached — 4 intake,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Written to the trail when it works,trail row,works,,,files attached — 5 intake,no
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,Shown to someone when it works,message,works,Customer,checkout flow,each file appears in the list with its size,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it fails,trail row,fails,,,"declined — a row of its own, not just the notice",no
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it fails,trail row,fails,,,card declined → customer,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it fails,trail row,fails,,,card declined → customer delivered,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it fails,trail row,fails,,,card declined → customer failed,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it fails,trail row,fails,,,card declined → customer bounced — hard,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it fails,trail row,fails,,,card declined → customer bounced — soft,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it fails,trail row,fails,,,card declined → customer bounced,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it fails,trail row,fails,,,card declined → customer complained,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Shown to someone when it fails,message,fails,Customer,checkout flow,“That card didn’t go through”,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Shown to someone when it fails,message,fails,Customer,checkout flow,“That payment didn’t go through.”,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Shown to someone when it fails,message,fails,Customer,checkout flow,“We couldn’t start the payment. Please try again.”,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Shown to someone when it fails,message,fails,Customer,checkout flow,“Your payment is still processing. We’ll email you as soon as it clears.”,yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Shown to someone when it fails,message,fails,Customer,email,"the decline email, carrying a way back in",yes
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Shown to someone when it fails,message,fails,Customer,checkout flow,"“That submission expired, so we’ve started you fresh.”",no
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it works,trail row,works,,,payment cleared — confirmed in the browser,no
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it works,trail row,works,,,payment cleared — confirmed by webhook,no
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it works,trail row,works,,,"payment cleared — already paid, second caller no-ops",no
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Written to the trail when it works,trail row,works,,,"payment cleared — 3-D Secure, returned via /api/payment/return",no
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,Shown to someone when it works,message,works,Customer,checkout flow,the confirmation screen,yes
3a,3,New,Send Receipt,System,automated,automated — fires on payment clearing,Receipt Sent,Written to the trail when it fails,trail row,fails,,,② receipt → customer failed,yes
3a,3,New,Send Receipt,System,automated,automated — fires on payment clearing,Receipt Sent,Written to the trail when it fails,trail row,fails,,,② receipt → customer bounced — hard,yes
3a,3,New,Send Receipt,System,automated,automated — fires on payment clearing,Receipt Sent,Written to the trail when it fails,trail row,fails,,,② receipt → customer bounced — soft,yes
3a,3,New,Send Receipt,System,automated,automated — fires on payment clearing,Receipt Sent,Written to the trail when it fails,trail row,fails,,,② receipt → customer bounced,yes
3a,3,New,Send Receipt,System,automated,automated — fires on payment clearing,Receipt Sent,Written to the trail when it fails,trail row,fails,,,② receipt → customer complained,yes
3a,3,New,Send Receipt,System,automated,automated — fires on payment clearing,Receipt Sent,Shown to someone when it fails,message,fails,Admin,operator portal,“The receipt to {customer} bounced — they may not know their submission arrived.”,no
3a,3,New,Send Receipt,System,automated,automated — fires on payment clearing,Receipt Sent,Written to the trail when it works,trail row,works,,,② receipt → customer,yes
3a,3,New,Send Receipt,System,automated,automated — fires on payment clearing,Receipt Sent,Written to the trail when it works,trail row,works,,,② receipt → customer delivered,yes
3a,3,New,Send Receipt,System,automated,automated — fires on payment clearing,Receipt Sent,Shown to someone when it works,message,works,Customer,email,"② the receipt, listing every file",yes
3b,3,New,Inform Admin,System,automated,automated — fires on payment clearing,Admin Informed,Written to the trail when it fails,trail row,fails,,,② New submission → Admin failed,yes
3b,3,New,Inform Admin,System,automated,automated — fires on payment clearing,Admin Informed,Written to the trail when it fails,trail row,fails,,,② New submission → Admin bounced — hard,yes
3b,3,New,Inform Admin,System,automated,automated — fires on payment clearing,Admin Informed,Written to the trail when it fails,trail row,fails,,,② New submission → Admin bounced — soft,yes
3b,3,New,Inform Admin,System,automated,automated — fires on payment clearing,Admin Informed,Written to the trail when it fails,trail row,fails,,,② New submission → Admin bounced,yes
3b,3,New,Inform Admin,System,automated,automated — fires on payment clearing,Admin Informed,Written to the trail when it fails,trail row,fails,,,② New submission → Admin complained,yes
3b,3,New,Inform Admin,System,automated,automated — fires on payment clearing,Admin Informed,Shown to someone when it fails,message,fails,Admin,operator portal,a banner on the row — “Your new-submission notice bounced. Check the address on your account.”,no
3b,3,New,Inform Admin,System,automated,automated — fires on payment clearing,Admin Informed,Written to the trail when it works,trail row,works,,,② New submission → Admin,yes
3b,3,New,Inform Admin,System,automated,automated — fires on payment clearing,Admin Informed,Written to the trail when it works,trail row,works,,,② New submission → Admin delivered,yes
3b,3,New,Inform Admin,System,automated,automated — fires on payment clearing,Admin Informed,Shown to someone when it works,message,works,Admin,email,② the new-submission notice,yes
3c,3,New,Update Client,System,automated,automated — fires on arrival at New,Client Updated,Written to the trail when it fails,trail row,fails,,,client status update failed — the page still shows the previous line,no
3c,3,New,Update Client,System,automated,automated — fires on arrival at New,Client Updated,Shown to someone when it fails,message,fails,Admin,operator portal,“The client’s status page didn’t update — it still shows the previous step.”,no
3c,3,New,Update Client,System,automated,automated — fires on arrival at New,Client Updated,Written to the trail when it works,trail row,works,,,client status — “Welcome — your submission is in and we're finding you a coach.”,no
3c,3,New,Update Client,System,automated,automated — fires on arrival at New,Client Updated,Shown to someone when it works,message,works,Customer,status page,“Welcome — your submission is in and we're finding you a coach.”,no
4a,4,Assign,Assess Coach Fit,System,automated,automated — scores every active coach on focus and language,Coach Fit Assessed,Written to the trail when it fails,trail row,fails,,,no active coach covers that focus,no
4a,4,Assign,Assess Coach Fit,System,automated,automated — scores every active coach on focus and language,Coach Fit Assessed,Written to the trail when it fails,trail row,fails,,,no eligible coach shares a language — translation unavoidable,no
4a,4,Assign,Assess Coach Fit,System,automated,automated — scores every active coach on focus and language,Coach Fit Assessed,Shown to someone when it fails,message,fails,Admin,operator portal,“No active coach covers that focus.”,no
4a,4,Assign,Assess Coach Fit,System,automated,automated — scores every active coach on focus and language,Coach Fit Assessed,Shown to someone when it fails,message,fails,Admin,operator portal,“No coach who covers this focus shares the client’s language — a translation will be needed whoever you pick.”,no
4a,4,Assign,Assess Coach Fit,System,automated,automated — scores every active coach on focus and language,Coach Fit Assessed,Written to the trail when it works,trail row,works,,,coach fit assessed — {n} eligible on focus,no
4a,4,Assign,Assess Coach Fit,System,automated,automated — scores every active coach on focus and language,Coach Fit Assessed,Written to the trail when it works,trail row,works,,,coach fit assessed — {n} of those share a language,no
4a,4,Assign,Assess Coach Fit,System,automated,automated — scores every active coach on focus and language,Coach Fit Assessed,Shown to someone when it works,message,works,Admin,operator portal,the assign list shows each eligible coach and whether picking them needs a translation,no
4a,4,Assign,Assess Coach Fit,System,automated,automated — scores every active coach on focus and language,Coach Fit Assessed,Shown to someone when it works,message,works,Admin,operator portal,“{n} coaches cover this focus. {m} of them read the client’s language.”,no
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,Written to the trail when it fails,trail row,fails,,,coach already assigned — reassignment refused,no
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,Written to the trail when it fails,trail row,fails,,,coach assignment failed — the pick is no longer eligible — reassess fit,no
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,Shown to someone when it fails,message,fails,Admin,operator portal,“This has already gone to a coach. Reload to see where it is.”,no
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,Shown to someone when it fails,message,fails,Admin,operator portal,“The pick is no longer eligible — reassess fit.”,no
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,Shown to someone when it fails,message,fails,Admin,operator portal,“That didn’t go through — try again.”,no
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,Written to the trail when it works,trail row,works,,,coach assigned — {coachId},no
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,Written to the trail when it works,trail row,works,,,coach unassigned — {coachId},no
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,Shown to someone when it works,message,works,Admin,operator portal,the coach’s name appears on the row,no
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,Shown to someone when it works,message,works,Admin,operator portal,“Two coachs on this one.”,no
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,Shown to someone when it works,message,works,Admin,operator portal,“Reassigned — {name} has it now.”,no
4c,4,Assign,Update Client,System,automated,automated — fires once the coach is on the row,Client Updated,Written to the trail when it fails,trail row,fails,,,client status update failed — the page still shows the previous line,no
4c,4,Assign,Update Client,System,automated,automated — fires once the coach is on the row,Client Updated,Shown to someone when it fails,message,fails,Admin,operator portal,“The client’s status page didn’t update — it still shows the previous step.”,no
4c,4,Assign,Update Client,System,automated,automated — fires once the coach is on the row,Client Updated,Written to the trail when it works,trail row,works,,,client status — “Your coach has been assigned.”,no
4c,4,Assign,Update Client,System,automated,automated — fires once the coach is on the row,Client Updated,Shown to someone when it works,message,works,Customer,status page,“Your coach has been assigned.”,no
4d,4,Assign,Choose Path,System,automated,automated — reads the assigned coach's language match,Path Chosen,Written to the trail when it fails,trail row,fails,,,compatibility check skipped — no coach assigned,no
4d,4,Assign,Choose Path,System,automated,automated — reads the assigned coach's language match,Path Chosen,Written to the trail when it fails,trail row,fails,,,compatibility split — {coachId} shares no language with the client,no
4d,4,Assign,Choose Path,System,automated,automated — reads the assigned coach's language match,Path Chosen,Shown to someone when it fails,message,fails,Admin,operator portal,“Assign a coach before checking languages.”,no
4d,4,Assign,Choose Path,System,automated,automated — reads the assigned coach's language match,Path Chosen,Shown to someone when it fails,message,fails,Admin,operator portal,"“{name} can’t read the client’s files. Translate for all, or reassign.”",no
4d,4,Assign,Choose Path,System,automated,automated — reads the assigned coach's language match,Path Chosen,Written to the trail when it works,trail row,works,,,translation required — no shared language. Proceeding to Step 5,no
4d,4,Assign,Choose Path,System,automated,automated — reads the assigned coach's language match,Path Chosen,Written to the trail when it works,trail row,works,,,translation not required — shared language. Proceeding to Step 8,no
4d,4,Assign,Choose Path,System,automated,automated — reads the assigned coach's language match,Path Chosen,Shown to someone when it works,message,works,Admin,operator portal,“No shared language — this needs translating. Moving to Step 5.”,no
4d,4,Assign,Choose Path,System,automated,automated — reads the assigned coach's language match,Path Chosen,Shown to someone when it works,message,works,Admin,operator portal,“Shared language — no translation needed. Moving to Step 8.”,no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Written to the trail when it fails,trail row,fails,,,intake translator already assigned — reassignment refused,no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Written to the trail when it fails,trail row,fails,,,intake translator assignment failed — nobody on file covers that language pair,no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it fails,message,fails,Admin,operator portal,“This has already gone to a translator. Reload to see where it is.”,no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it fails,message,fails,Admin,operator portal,“Nobody on file covers that language pair.”,no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it fails,message,fails,Admin,operator portal,“That didn’t go through — try again.”,no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Written to the trail when it works,trail row,works,,,intake translator assigned — {translatorId},no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Written to the trail when it works,trail row,works,,,intake translator unassigned — {translatorId},no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it works,message,works,Admin,operator portal,the translator’s name appears on the row,no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it works,message,works,Admin,operator portal,“Two translators on this one.”,no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it works,message,works,Admin,operator portal,“Reassigned — {name} has it now.”,no
5a,5,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it works,message,works,Admin,operator portal,“The return leg can take a different translator.”,no
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it fails,trail row,fails,,,③ hand-off → translator failed,yes
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it fails,trail row,fails,,,③ hand-off → translator bounced — hard,yes
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it fails,trail row,fails,,,③ hand-off → translator bounced — soft,yes
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it fails,trail row,fails,,,③ hand-off → translator bounced,yes
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it fails,trail row,fails,,,③ hand-off → translator complained,yes
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator never received this — they don’t know they have work.”,no
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Shown to someone when it fails,message,fails,Admin,operator portal,“That didn’t go through — try again.”,no
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it works,trail row,works,,,③ hand-off → translator,yes
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it works,trail row,works,,,③ hand-off → translator delivered,yes
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Shown to someone when it works,message,works,Translator,email,"③ the hand-off, with a download link per file",no
5b,5,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Shown to someone when it works,message,works,Admin,operator portal,the row moves to Translating,yes
5c,5,Translate,Update Client,System,automated,automated — fires when the hand-off goes out,Client Updated,Written to the trail when it fails,trail row,fails,,,client status update failed — the page still shows the previous line,no
5c,5,Translate,Update Client,System,automated,automated — fires when the hand-off goes out,Client Updated,Shown to someone when it fails,message,fails,Admin,operator portal,“The client’s status page didn’t update — it still shows the previous step.”,no
5c,5,Translate,Update Client,System,automated,automated — fires when the hand-off goes out,Client Updated,Written to the trail when it works,trail row,works,,,client status — “Your files are with a translator.”,no
5c,5,Translate,Update Client,System,automated,automated — fires when the hand-off goes out,Client Updated,Shown to someone when it works,message,works,Customer,status page,“Your files are with a translator.”,no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original fetch refused — 410, the folder was swept",yes
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original fetch refused — 401, the session had expired",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original fetch refused — 403, a different party asked",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,original fetch failed — storage unreachable,no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,original fetch stopped partway,no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,original pack build failed — too large to archive,no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,original never collected — 48h after hand-off,no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original still incomplete — 1 of 2, 48h after hand-off",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original still incomplete — 1 of 3, 48h after hand-off",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original still incomplete — 1 of 4, 48h after hand-off",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original still incomplete — 1 of 5, 48h after hand-off",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original still incomplete — 2 of 3, 48h after hand-off",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original still incomplete — 2 of 4, 48h after hand-off",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original still incomplete — 2 of 5, 48h after hand-off",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original still incomplete — 3 of 4, 48h after hand-off",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original still incomplete — 3 of 5, 48h after hand-off",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Written to the trail when it fails,trail row,fails,,,"original still incomplete — 4 of 5, 48h after hand-off",no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Shown to someone when it fails,message,fails,Translator,operator portal,“That file is no longer available.”,yes
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Shown to someone when it fails,message,fails,Translator,operator portal,“Your session has expired. Please sign in again.”,no
5d,5,Translate,Download Originals,Translator,manual,"manual — collects the pack, off-platform",Originals Downloaded,Shown to someone when it fails,message,fails,Translator,operator portal,“This submission isn’t assigned to you.”,no
